parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type,generation
Bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,"InChI=1S/C27H29N5O6S/c1-27(2,3)18-10-12-19(13-11-18)39(34,35)32-23-22(38-21-9-6-5-8-20(21)36-4)26(37-17-16-33)31-25(30-23)24-28-14-7-15-29-24/h5-15,33H,16-17H2,1-4H3,(H,30,31,32)",Bosentan metabolite Ro 48-5033,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)CO)C=C1,FAJQMBCLPZWTQJ-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 3A4",0.98,,0
Bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,"InChI=1S/C27H29N5O6S/c1-27(2,3)18-10-12-19(13-11-18)39(34,35)32-23-22(38-21-9-6-5-8-20(21)36-4)26(37-17-16-33)31-25(30-23)24-28-14-7-15-29-24/h5-15,33H,16-17H2,1-4H3,(H,30,31,32)",Bosentan metabolite Ro 47-8634,CC(C)(C)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC2=CC=CC=C2O)C=C1,STTLKJGYAWXIPP-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C9",0.99,,0
Bosentan metabolite Ro 48-5033,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)CO)C=C1,FAJQMBCLPZWTQJ-UHFFFAOYSA-N,Bosentan metabolite Ro 64-1056,CC(C)(CO)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC2=CC=CC=C2O)C=C1,JXXCMZWROOURSZ-UHFFFAOYSA-N,,0.99,,0
Bosentan metabolite Ro 47-8634,CC(C)(C)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC2=CC=CC=C2O)C=C1,STTLKJGYAWXIPP-UHFFFAOYSA-N,Bosentan metabolite Ro 64-1056,CC(C)(CO)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC2=CC=CC=C2O)C=C1,JXXCMZWROOURSZ-UHFFFAOYSA-N,,0.98,,0
Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)","10,11-Epoxycarbamazepine",NC(=O)N1C2=CC=CC=C2C2OC2C2=CC=CC=C21,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,"Cytochrome P450 3A5, Cytochrome P450 3A4, Cytochrome P450 2C8",0.49,,0
Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)","Carbamazepine 2,3-epoxide",NC(=O)N1C2=CC3OC3C=C2C=CC2=CC=CC=C21,AUCXBTOAZTYKIN-UHFFFAOYSA-N,,0.31,,0
Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",3-hydroxycarbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=C(O)C=C21,QQCFBZCATDIWTH-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2B6",0.84,,0
3-hydroxycarbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=C(O)C=C21,QQCFBZCATDIWTH-UHFFFAOYSA-N,"2,3-Dihydroxycarbamazepine",NC(=O)N1C2=CC=CC=C2C=CC2=CC(O)=C(O)C=C21,YITIUNLDWDJVSI-UHFFFAOYSA-N,"Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5",0.89,,0
"Carbamazepine 2,3-epoxide",NC(=O)N1C2=CC3OC3C=C2C=CC2=CC=CC=C21,AUCXBTOAZTYKIN-UHFFFAOYSA-N,2-hydroxycarbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC(O)=CC=C21,VPZIYMMSJFWLSP-UHFFFAOYSA-N,,0.33,,0
"10,11-Epoxycarbamazepine",NC(=O)N1C2=CC=CC=C2C2OC2C2=CC=CC=C21,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,"10,11-Dihydroxycarbamazepine",N=C(O)N1C2=CC=CC=C2C(O)C(O)C2=CC=CC=C21,PRGQOPPDPVELEG-KBPBESRZSA-N,Epoxide hydrolase 1,0.66,,0
2-hydroxycarbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC(O)=CC=C21,VPZIYMMSJFWLSP-UHFFFAOYSA-N,2-hydroxyiminostilbene,OC1=CC=C2NC3=CC=CC=C3C=CC2=C1,FKCUOSGTQJAUQX-UHFFFAOYSA-N,Cytochrome P450 3A4,0.62,,0
Cisatracurium,COC1=C(OC)C=C(CC2C3=C(C=C(OC)C(OC)=C3)CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=C(C=C(OC)C(OC)=C3)C2CC2=CC(OC)=C(OC)C=C2)C=C1,"InChI=1S/C53H72N2O12/c1-54(22-18-38-32-48(62-7)50(64-9)34-40(38)42(54)28-36-14-16-44(58-3)46(30-36)60-5)24-20-52(56)66-26-12-11-13-27-67-53(57)21-25-55(2)23-19-39-33-49(63-8)51(65-10)35-41(39)43(55)29-37-15-17-45(59-4)47(31-37)61-6/h14-17,30-35,42-43H,11-13,18-29H2,1-10H3/q+2/t42-,43-,54-,55-/m1/s1",laudanosine,COC1=C(OC)C=C(CC2C3=CC(OC)=C(OC)C=C3CCN2C)C=C1,KGPAYJZAMGEDIQ-UHFFFAOYSA-N,,0.82,,0
Cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,"InChI=1S/C26H28N2/c1-4-11-23(12-5-1)13-10-18-27-19-21-28(22-20-27)26(24-14-6-2-7-15-24)25-16-8-3-9-17-25/h1-17,26H,18-22H2/b13-10+",Cinnarizine metabolite M1,C1=CC=C(C(C2=CC=CC=C2)N2CCNCC2)C=C1,NWVNXDKZIQLBNM-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2A6",0.76,,0
Cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,"InChI=1S/C26H28N2/c1-4-11-23(12-5-1)13-10-18-27-19-21-28(22-20-27)26(24-14-6-2-7-15-24)25-16-8-3-9-17-25/h1-17,26H,18-22H2/b13-10+",Cinnarizine metabolite M2,OC1=CC=C(C=CCN2CCN(C(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C=C1,QFWMZESBHJUDQQ-UHFFFAOYSA-N,Cytochrome P450 2D6,0.9,,0
Cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,"InChI=1S/C26H28N2/c1-4-11-23(12-5-1)13-10-18-27-19-21-28(22-20-27)26(24-14-6-2-7-15-24)25-16-8-3-9-17-25/h1-17,26H,18-22H2/b13-10+",Benzophenone,O=C(C1=CC=CC=C1)C1=CC=CC=C1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2A6",0.21,,0
Cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,"InChI=1S/C26H28N2/c1-4-11-23(12-5-1)13-10-18-27-19-21-28(22-20-27)26(24-14-6-2-7-15-24)25-16-8-3-9-17-25/h1-17,26H,18-22H2/b13-10+",Cinnarizine metabolite M4,OC1=CC=C(C(C2=CC=CC=C2)N2CCN(CC=CC3=CC=CC=C3)CC2)C=C1,UQMAKWWGLMGUQQ-UHFFFAOYSA-N,Cytochrome P450 2B6,0.89,,0
Cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,"InChI=1S/C26H28N2/c1-4-11-23(12-5-1)13-10-18-27-19-21-28(22-20-27)26(24-14-6-2-7-15-24)25-16-8-3-9-17-25/h1-17,26H,18-22H2/b13-10+",Cinnamaldehyde,O=CC=CC1=CC=CC=C1,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,"Cytochrome P450 2C9, Cytochrome P450 1A2, Cytochrome P450 2A6",0.22,,0
Vinblastine,CCC1(O)CC2CN(CCC3=C(NC4=C3C=CC=C4)C(C(=O)OC)(C3=C(OC)C=C4C(=C3)C35CCN6CC=CC(CC)(C(OC(C)=O)C(O)(C(=O)OC)C3N4C)C65)C2)C1,"InChI=1S/C46H58N4O9/c1-8-42(54)23-28-24-45(40(52)57-6,36-30(15-19-49(25-28)26-42)29-13-10-11-14-33(29)47-36)32-21-31-34(22-35(32)56-5)48(4)38-44(31)17-20-50-18-12-16-43(9-2,37(44)50)39(59-27(3)51)46(38,55)41(53)58-7/h10-14,16,21-22,28,37-39,47,54-55H,8-9,15,17-20,23-26H2,1-7H3/t28-,37-,38+,39+,42-,43+,44+,45-,46-/m0/s1",Desacetylvinblastine,CCC1(O)CC2CN(CCC3=C(NC4=CC=CC=C34)C(C(=O)OC)(C3=C(OC)C=C4C(=C3)C35CCN6CC=CC(CC)(C(O)C(O)(C(=O)OC)C3N4C)C65)C2)C1,NDMPLJNOPCLANR-CYJJREDESA-N,Cytochrome P450 3A4,0.99,,0
Fenoprofen,CC(C(=O)O)C1=CC(OC2=CC=CC=C2)=CC=C1,"InChI=1S/C15H14O3/c1-11(15(16)17)12-6-5-9-14(10-12)18-13-7-3-2-4-8-13/h2-11H,1H3,(H,16,17)",Fenoprofen glucuronide,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=CC(OC2=CC=CC=C2)=C1,KXAAUVHIGIFUSM-RVLIQFCMSA-N,,0.38,,0
Fenoprofen,CC(C(=O)O)C1=CC(OC2=CC=CC=C2)=CC=C1,"InChI=1S/C15H14O3/c1-11(15(16)17)12-6-5-9-14(10-12)18-13-7-3-2-4-8-13/h2-11H,1H3,(H,16,17)",4'-hydroxyfenoprofen glucuronide,CC(C(=O)O)C1=CC(OC2=CC=C(OC3C(O)C(O)OC(C(=O)O)C3O)C=C2)=CC=C1,FPPVBAMKHUAIOP-OYQCQVHHSA-N,,0.4,,0
Fenfluramine,CCNC(C)CC1=CC=CC(C(F)(F)F)=C1,"InChI=1S/C12H16F3N/c1-3-16-9(2)7-10-5-4-6-11(8-10)12(13,14)15/h4-6,8-9,16H,3,7H2,1-2H3",norfenfluramine,CC(N)CC1=CC(C(F)(F)F)=CC=C1,MLBHFBKZUPLWBD-UHFFFAOYSA-N,"Cytochrome P450 2D6, Cytochrome P450 1A2",0.88,,0
Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,"InChI=1S/C9H9Cl2N3/c10-6-2-1-3-7(11)8(6)14-9-12-4-5-13-9/h1-3H,4-5H2,(H2,12,13,14)",4-Hydroxyclonidine,OC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,NTWBRPXHGAXREI-UHFFFAOYSA-N,"Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 1A1, Cytochrome P450 3A5",0.84,,0
Valaciclovir,CC(C)C(N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O,"InChI=1S/C13H20N6O4/c1-7(2)8(14)12(21)23-4-3-22-6-19-5-16-9-10(19)17-13(15)18-11(9)20/h5,7-8H,3-4,6,14H2,1-2H3,(H3,15,17,18,20)/t8-/m0/s1",Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,"InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)",Valacyclovir hydrolase,0.87,,0
Valdecoxib metabolite M2,CC1=C(C2=CC=C(S(=O)(=O)NO)C=C2)C(C2=CC=CC=C2)=NO1,ONTHNDYCEKOFIC-UHFFFAOYSA-N,Valdecoxib metabolite M7,CC1=C(C2=CC=C(S(=O)O)C=C2)C(C2=CC=CC=C2)=NO1,MCGQPKHGAPQIDC-UHFFFAOYSA-N,,0.84,,0
Valdecoxib metabolite M2,CC1=C(C2=CC=C(S(=O)(=O)NO)C=C2)C(C2=CC=CC=C2)=NO1,ONTHNDYCEKOFIC-UHFFFAOYSA-N,Valdecoxib metabolite M5,O=S(=O)(NO)C1=CC=C(C2=C(CO)ON=C2C2=CC=CC=C2)C=C1,QUJNXRZCTHMBKO-UHFFFAOYSA-N,,0.92,,0
Valdecoxib metabolite M1,NS(=O)(=O)C1=CC=C(C2=C(CO)ON=C2C2=CC=CC=C2)C=C1,UJSFKTUZOASIPA-UHFFFAOYSA-N,Valdecoxib metabolite M5,O=S(=O)(NO)C1=CC=C(C2=C(CO)ON=C2C2=CC=CC=C2)C=C1,QUJNXRZCTHMBKO-UHFFFAOYSA-N,,0.96,,0
Valdecoxib metabolite M1,NS(=O)(=O)C1=CC=C(C2=C(CO)ON=C2C2=CC=CC=C2)C=C1,UJSFKTUZOASIPA-UHFFFAOYSA-N,Valdecoxib metabolite M4,NS(=O)(=O)C1=CC=C(C2=C(C(=O)O)ON=C2C2=CC=CC=C2)C=C1,AEAVMNLZENBJSN-UHFFFAOYSA-N,,0.87,,0
Valdecoxib metabolite M1,NS(=O)(=O)C1=CC=C(C2=C(CO)ON=C2C2=CC=CC=C2)C=C1,UJSFKTUZOASIPA-UHFFFAOYSA-N,Valdecoxib metabolite M3,NS(=O)(=O)C1=CC=C(C2=C(CO)ON=C2C2=CC(O)=CC=C2)C=C1,PESVSSPYDIXETJ-UHFFFAOYSA-N,,0.92,,0
Valdecoxib metabolite M9,CC1=C(C2=CC=C(S(N)(=O)=O)C=C2)C(C2=CC(O)=CC=C2)=NO1,IAVWHASLRCBDDK-UHFFFAOYSA-N,Valdecoxib metabolite M3,NS(=O)(=O)C1=CC=C(C2=C(CO)ON=C2C2=CC(O)=CC=C2)C=C1,PESVSSPYDIXETJ-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 3A4",0.92,,0
Valdecoxib metabolite M7,CC1=C(C2=CC=C(S(=O)O)C=C2)C(C2=CC=CC=C2)=NO1,MCGQPKHGAPQIDC-UHFFFAOYSA-N,Valdecoxib metabolite M8,CC1=C(C2=CC=C(S(=O)(=O)O)C=C2)C(C2=CC=CC=C2)=NO1,LLWOSCPRJRUVST-UHFFFAOYSA-N,,0.96,,0
Voriconazole,CC(C1=NC=NC=C1F)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3/t10-,16+/m0/s1",Voriconazole N-Oxide,CC(C1=C(F)C=[N+]([O-])C=N1)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,KPLFPLUCFPRUHU-MGPLVRAMSA-N,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 3A7",0.96,,0
Voriconazole,CC(C1=NC=NC=C1F)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3/t10-,16+/m0/s1",4-Hydroxyvoriconazole,OCC(C1=NC=NC=C1F)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,BGPPSFHHAYWTMX-LRDDRELGSA-N,"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 3A7",0.96,,0
4-Hydroxyvoriconazole,OCC(C1=NC=NC=C1F)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,BGPPSFHHAYWTMX-LRDDRELGSA-N,4-Hydroxyvoriconazole 4-O-glucuronide,O=C(O)C1OC(OCC(C2=NC=NC=C2F)C(O)(CN2C=NC=N2)C2=C(F)C=C(F)C=C2)C(O)C(O)C1O,RTNOBOYTQNLUHP-ORKWUBDLSA-N,,0.84,,0
Voriconazole N-Oxide,CC(C1=C(F)C=[N+]([O-])C=N1)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,KPLFPLUCFPRUHU-MGPLVRAMSA-N,"UK-51,060",O=C(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,XCHRPVARHBCFMJ-UHFFFAOYSA-N,,0.32,,0
"UK-215,364",OC(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,NQNSXRYFTHGTTO-UHFFFAOYSA-N,Voriconazole O-glucuronide derivative (1),O=C(O)C1OC(OC2=CC(F)=C(C(O)CN3C=NC=N3)C=C2)C(O)C(O)C1O,XNZQDIJYTGCNLO-SHIOMWLHSA-N,,0.43,,0
Levocarnitine,C[N+](C)(C)CC(O)CC(=O)[O-],"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",[3H]-gamma-Butyrobetaine,C[N+](C)(C)CCCC(=O)O,JHPNVNIEXXLNTR-UHFFFAOYSA-O,,0.63,,0
Enalapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1CCCC1C(=O)O,"InChI=1S/C20H28N2O5/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25)/t14-,16-,17-/m0/s1",Enalaprilat,CC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1CCCC1C(=O)O,LZFZMUMEGBBDTC-QEJZJMRPSA-N,,0.9,,0
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(CN(C)C)=N1,"InChI=1S/C12H21N5O2S2/c1-13-11(6-17(18)19)14-4-5-20-8-10-9-21-12(15-10)7-16(2)3/h6,9,13-14H,4-5,7-8H2,1-3H3",N2-monodes-methylnizatidine,CNCC1=NC(CSCCNC(=C[N+](=O)[O-])NC)=CS1,QDLSRAPBCBFIQC-UXBLZVDNSA-N,,0.95,,0
Diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",4'-Hydroxydiclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=C(O)C=C1Cl,KGVXVPRLBMWZLG-UHFFFAOYSA-N,Cytochrome P450 2C9,0.87,,0
Diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",Diclofenac acyl glucuronide,O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)OC1OC(C(=O)O)C(O)C(O)C1O,JXIKYYSIYCILNG-HBWRTXEVSA-N,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1-3, UDP-glucuronosyltransferase 1-9, UDP-glucuronosyltransferase 2B4",0.48,,0
Diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",3'-Hydroxydiclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC(O)=C1Cl,HYPJZSYXUWYJDG-UHFFFAOYSA-N,Cytochrome P450 2C9,0.8,,0
Fluticasone propionate,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,"InChI=1S/C25H31F3O5S/c1-5-20(31)33-25(21(32)34-12-26)13(2)8-15-16-10-18(27)17-9-14(29)6-7-22(17,3)24(16,28)19(30)11-23(15,25)4/h6-7,9,13,15-16,18-19,30H,5,8,10-12H2,1-4H3/t13-,15+,16+,18+,19+,22+,23+,24+,25+/m1/s1",fluticasone 17beta-carboxylic acid,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)O,QSVBUQTYFQFEHC-FULJYSEXSA-N,"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 3A7",0.74,,0
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"InChI=1S/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,"InChI=1S/C11H18N2O3/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",,0.74,,0
Sulindac,CC1=C(CC(=O)O)C2=CC(F)=CC=C2C1=CC1=CC=C(S(C)=O)C=C1,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-",Sulindac sulfide,CSC1=CC=C(C=C2C(C)=C(CC(=O)O)C3=C2C=CC(F)=C3)C=C1,LFWHFZJPXXOYNR-MFOYZWKCSA-N,,0.97,,0
Sulindac,CC1=C(CC(=O)O)C2=CC(F)=CC=C2C1=CC1=CC=C(S(C)=O)C=C1,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-",Sulindac sulfone,CC1=C(CC(=O)O)C2=C(C=CC(F)=C2)C1=CC1=CC=C(S(C)(=O)=O)C=C1,MVGSNCBCUWPVDA-UHFFFAOYSA-N,,0.98,,0
Ethionamide,CCC1=NC=CC(C(N)=S)=C1,"InChI=1S/C8H10N2S/c1-2-7-5-6(8(9)11)3-4-10-7/h3-5H,2H2,1H3,(H2,9,11)",Ethionamide sulphoxide,CCC1=NC=CC(C(N)=S=O)=C1,QDQQNGZRIJPDGA-UHFFFAOYSA-N,,0.87,,0
Amodiaquine,CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1,"InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)",desethylamodiaquine,CCNCC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1,VRXFDHAGFYWGHT-UHFFFAOYSA-N,Cytochrome P450 2C8,0.96,,0
Furazolidone,O=C1OCCN1N=CC1=CC=C([N+](=O)[O-])O1,"InChI=1S/C8H7N3O5/c12-8-10(3-4-15-8)9-5-6-1-2-7(16-6)11(13)14/h1-2,5H,3-4H2/b9-5+",3-amino-2-oxazolidone,NN1CCOC1=O,KYCJNIUHWNJNCT-UHFFFAOYSA-N,,0.21,,0
Rifabutin,COC1C=COC2(C)OC3=C(C2=O)C2=C(C(=O)C(=C4NC5(CCN(CC(C)C)CC5)N=C42)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C(O)=C3C,"InChI=1S/C46H62N4O11/c1-22(2)21-50-18-16-46(17-19-50)48-34-31-32-39(54)28(8)42-33(31)43(56)45(10,61-42)59-20-15-30(58-11)25(5)41(60-29(9)51)27(7)38(53)26(6)37(52)23(3)13-12-14-24(4)44(57)47-36(40(32)55)35(34)49-46/h12-15,20,22-23,25-27,30,37-38,41,49,52-54H,16-19,21H2,1-11H3,(H,47,57)/b13-12+,20-15+,24-14-/t23-,25+,26+,27+,30-,37-,38+,41+,45-/m0/s1",27-O-demethylrifabutin,CC(=O)OC1C(C)C(O)C=COC2(C)OC3=C(C2=O)C2=C(C(=O)C(=C4NC5(CCN(CC(C)C)CC5)N=C42)N=C(O)C(C)=CC=CC(C)C(O)C(C)C(O)C1C)C(O)=C3C,BZRNSFHHZZYSST-VBSJQSPRSA-N,Cytochrome P450 3A4,0.95,,0
Rifabutin,COC1C=COC2(C)OC3=C(C2=O)C2=C(C(=O)C(=C4NC5(CCN(CC(C)C)CC5)N=C42)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C(O)=C3C,"InChI=1S/C46H62N4O11/c1-22(2)21-50-18-16-46(17-19-50)48-34-31-32-39(54)28(8)42-33(31)43(56)45(10,61-42)59-20-15-30(58-11)25(5)41(60-29(9)51)27(7)38(53)26(6)37(52)23(3)13-12-14-24(4)44(57)47-36(40(32)55)35(34)49-46/h12-15,20,22-23,25-27,30,37-38,41,49,52-54H,16-19,21H2,1-11H3,(H,47,57)/b13-12+,20-15+,24-14-/t23-,25+,26+,27+,30-,37-,38+,41+,45-/m0/s1",25-O-deacetylrifabutin,COC1C=COC2(C)OC3=C(C2=O)C2=C(C(=O)C(=C4NC5(CCN(CC(C)C)CC5)N=C42)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C1C)C(O)=C3C,SCGFWNINBXENQT-FMPFFZOVSA-N,,0.99,,0
Paramethadione,CCC1(C)OC(=O)N(C)C1=O,"InChI=1S/C7H11NO3/c1-4-7(2)5(9)8(3)6(10)11-7/h4H2,1-3H3","5-ethyl-5-methyl-2,4-oxazolidinedione",CCC1(C)OC(=O)N=C1O,MGHNWMRNFGYJKE-UHFFFAOYSA-N,Cytochrome P450 2C9,0.2,,0
Imatinib,CC1=C(NC2=NC=CC(C3=CN=CC=C3)=N2)C=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)",AFN911,CN1CCN(CC2=CC=C(C(=O)NC3=CC(NC4=NC=CC(C5=CN=CC=C5)=N4)C(CO)C=C3)C=C2)CC1,JBSTUPHUZMAVFU-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 1A1, Cytochrome P450 1B1, Cytochrome P450 4F3",0.55,,0
