parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_type,fingerprint_similarity
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=C(O)C=N3)CC2)C(=O)C1O,CYP3A4,Hydroxylation,0.69
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=C(O)C=N3)CC2)C(=O)C1,CYP3A4,Aromatic Hydroxylation,0.91
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)C1O,CYP3A4,Aliphatic Hydroxylation,0.74
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(C3=NC=CC=N3)CC2)C(=O)C1,1-(2-pyrimidinyl)-piperazine (1-PP),C1=CN=C(N2CCNCC2)N=C1,CYP3A4,N-Dealkylation,0.46
granisetron,CN1C2CCCC1CC(NC(=O)C1=NN(C)C3=CC=CC=C13)C2,7-Hydroxygranisetron,CN1C2CCCC1CC(NC(=O)C1=NN(C)C3=CC=CC(O)=C13)C2,CYP1A1,HYDROXYLATION_OF_AROMATIC_CARBON,0.86
granisetron,CN1C2CCCC1CC(NC(=O)C1=NN(C)C3=CC=CC=C13)C2,9'-Desmethylgranisetron,CN1C2CCCC1CC(NC(=O)C1=NNC3=CC=CC=C13)C2,CYP3A4 (major); CYP1A1; CYP2D6; CYP3A5,N-dealkylation of alicyclic tertiary amine,0.85
gts-21,COC1=CC=C(C=C2CCCN=C2C2=CC=CN=C2)C(OC)=C1,4-OH-GTS-21,COC1=CC(O)=CC=C1C=C1CCCN=C1C1=CC=CN=C1,CYP1A2;CYP2E1;CYP3A4,O-Demethylation,0.99
gts-21,COC1=CC=C(C=C2CCCN=C2C2=CC=CN=C2)C(OC)=C1,2-OH-GTS-21,COC1=CC=C(C=C2CCCN=C2C2=CC=CN=C2)C(O)=C1,CYP1A2;CYP2E1;CYP3A4,O-Demethylation,0.97
guanabenz,N=C(N)NN=CC1=C(Cl)C=CC=C1Cl,Guanoxabenz,N=C(NO)NN=CC1=C(Cl)C=CC=C1Cl,CYP1A2,N-hyroxylation of guanidine or aminohydrazone,0.93
haloperidol,O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,p-Fluorobenzoylpropionic acid and 4-(4-chlorophenyl)-4-hydroxypiperidine,O=C(O)CCC(=O)C1=CC=C(F)C=C1,CYP3A4; CYP2D6,N-dealkylation of alicyclic tertiary amine,0.4
haloperidol,O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,Haloperidol pyridinium,O=C(CCCN1C=CC(=C2C=CC(=[Cl+])C=C2)C=C1)C1=CC=C(F)C=C1,CYP3A4,Formation of pyridinium from 4-substituted piperidine,0.42
harmaline,COC1=CC=C2C3=C(NC2=C1)C(C)=NCC3,Harmalol,CC1=NCCC2=C1NC1=CC(O)=CC=C21,CYP2D6 (major); CYP1A2 (minor),O-aryl demethylation,0.96
harmine,COC1=CC=C2C(=C1)NC1=C(C)N=CC=C12,Harmol,COC1=CC2=C(C=C1O)C1=CC=NC(C)=C1N2,CYP2D6 (major); CYP2C9 (minor); CYP2C19 (minor); CYP1A2 (minor),Aromatic hydroxylation of fused benzene ring,0.91
harmine,COC1=CC=C2C(=C1)NC1=C(C)N=CC=C12,6-OH-harmaline,CC1=NC=CC2=C1NC1=CC(O)=CC=C12,CYP2D6,O-aryl demethylation,0.93
hydrocodone,COC1=CC=C2CC3C4CCC(=O)C5OC1=C2C54CCN3C,Hydromorphone,CN1CCC23C4=C5C=CC(O)=C4OC2C(=O)CCC3C1C5,CYP2D6,O-dementhylation,0.99
hydrocodone,COC1=CC=C2CC3C4CCC(=O)C5OC1=C2C54CCN3C,Norhydromorphone,COC1=CC=C2CC3NCCC45C2=C1OC4C(=O)CCC35,CYP3A4,N-dementhylation,0.98
ibrolipim,CCOP(=O)(CC1=CC=C(C(O)=NC2=CC=C(Br)C=C2C#N)C=C1)OCC,,CCOP(=O)(O)CC1=CC=C(C(O)=NC2=CC=C(Br)C=C2C#N)C=C1,CYP2C8;CYP3A4,O-DEETHYLATION,0.96
iloperidone,COC1=CC(C(C)=O)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,"4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]propoxy]-3-methoxy-a-methylbenzene methanol",COC1=CC(C(C)O)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,CYP1A2;CYP2E1;CYP3A4,Reduction ,0.91
iloperidone,COC1=CC(C(C)=O)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,"1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]- propoxy]-3-hydroxyphenyl]ethanone",CC(=O)C1=CC=C(OCCCN2CCC(C3=NOC4=CC(F)=CC=C34)CC2)C(O)=C1,CYP3A4,O-Demethylation,0.97
iloperidone,COC1=CC(C(C)=O)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,"1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]propoxy]-3-methoxyphenyl]-2-hydroxyethanone",COC1=CC(C(=O)CO)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,CYP2D6,Aliphatic Hydroxylation,0.97
imidacloprid,O=[N+]([O-])NC1=NCCN1CC1=CC=C(Cl)N=C1,5-hydroxy-imidacloprid,O=[N+]([O-])NC1=NCC(O)N1CC1=CC=C(Cl)N=C1,CYP3A4,Aliphatic Hydroxylation,0.82
imidacloprid,O=[N+]([O-])NC1=NCCN1CC1=CC=C(Cl)N=C1,olefin,O=[N+]([O-])NC1=NC=CN1CC1=CC=C(Cl)N=C1,CYP3A4,Dehydrogenation,0.27
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,2-Hydroxyimipramine ,CN(C)CCCN1C2=CC=CC=C2CCC2=CC(O)=CC=C21,CYP2C19 (major); CYP2D6 ,Aromatic hydroxylation of fused benzene ring,0.86
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,Desimipramine ,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C21,CYP2C19; CYP2C18; CYP2D6; CYP1A2 ,N-dealkylation of acyclic tertiary amine,0.99
indinavir,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,,CC(C)(C)N=C(O)C1CN(CC2=CC=C[N+]([O-])=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,CYP3A4,N-Oxidation,0.98
indinavir,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,,CC(C)(C)N=C(O)C1CNCCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,CYP3A4,N-Dealkylation,0.91
indinavir,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=C(O)C=C1)C(O)=NC1C2=CC=CC=C2CC1O,CYP3A4,Aromatic Hydroxylation,0.98
indinavir,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,,CC(C)(C)N=C(O)C1CN(CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2C(O)C1O,CYP3A4,Aliphatic Hydroxylation,0.92
indiplon,CC(=O)N(C)C1=CC=CC(C2=CC=NC3=C(C(=O)C4=CC=CS4)C=NN23)=C1,N-Desmethylindiplon,CC(O)=NC1=CC=CC(C2=CC=NC3=C(C(=O)C4=CC=CS4)C=NN23)=C1,CYP3A4; CYP1A2,N-dealkylation of tertiary carboxamide,0.9
indole,C1=CC=C2NC=CC2=C1,,OC1=CNC2=CC=CC=C12,CYP2A6;CYP2C19;CYP2E1,Aliphatic Hydroxylation,0.57
indole,C1=CC=C2NC=CC2=C1,,OC1=NC2=CC=CC=C2C1,CYP2A6;CYP2C19;CYP2E1,C-Oxidation,0.06
indole,C1=CC=C2NC=CC2=C1,,OC1=CC=C2C=CNC2=C1,CYP2A6;CYP2C19;CYP2E1,Aromatic Hydroxylation,0.64
indomethacin,COC1=CC=C2C(=C1)C(CC(=O)O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1,O-Desmethylindomethacin,CC1=C(CC(=O)O)C2=CC(O)=CC=C2N1C(=O)C1=CC=C(Cl)C=C1,CYP2C9 (major); CYP2C19 (minor); CYP2D6 (minor); CYP1A2 (minor),O-aryl demethylation,0.97
"invega, invega sustenna, 9-hydroxyrisperidone, paliperidone",CC1=C(CCN2CCC(C3=NOC4=CC(F)=CC=C34)CC2)C(=O)N2CCCC(O)C2=N1,,CC1=C(CCN2CCC(C3=NOC4=CC(F)=CC=C34)CC2)C(=O)N2CC(O)CC(O)C2=N1,CYP2D6,Aliphatic Hydroxylation,0.95
ipriflavone,CC(C)OC1=CC=C2C(=O)C(C3=CC=CC=C3)=COC2=C1,,O=C1C(C2=CC=CC=C2)=COC2=CC(O)=CC=C12,CYP1A2;CYP2C9;CYP2C19;CYP3A4,O-dealkylation,0.89
ipriflavone,CC(C)OC1=CC=C2C(=O)C(C3=CC=CC=C3)=COC2=C1,,CC(CO)OC1=CC=C2C(=O)C(C3=CC=CC=C3)=COC2=C1,CYP1A2;CYP2C9;CYP2C19,Aliphatic Hydroxylation,0.98
ipriflavone,CC(C)OC1=CC=C2C(=O)C(C3=CC=CC=C3)=COC2=C1,,CC(C)OC1=CC=C2C(=O)C(C3=CC=C(O)C=C3)=COC2=C1,CYP1A2;CYP2C9;CYP2C19,Aromatic Hydroxylation,0.98
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,"2-(3-hydroxybutyl)-3-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1,3-diazaspiro[4.4]non-1-en-4-one",CC(O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,Hydroxylation of penultimate aliphatic secondary carbon,0.98
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,M7,CCCCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,Hydroxylation of alicyclic secondary carbon,0.92
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,M3,O=C(O)CCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,C-Oxidation,0.98
isoquinoline,C1=CC=C2C=NC=CC2=C1,isoquinoline N-oxide,[O-][N+]1=CC=C2C=CC=CC2=C1,CYP3A4; CYP2E1,N-Oxidation,0.71
isotretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,,CC(C=CC(O)=C(C)C=CC1=C(C)CCCC1(C)C)=CC(=O)O,CYP2B6;CYP2C8;CYP3A4,Hydroxylation,0.83
isoursodeoxycholic acid,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CCC12C,CYP3A4,Dehydrogenation,0.81
isoursodeoxycholic acid,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,CYP3A4,Aliphatic Hydroxylation,0.81
ivermectin,COC1CC(OC2C(C)OC(OC3C(C)=CCC4CCC(CC5(CCC(C(C)C)CO5)O4)OC(=O)C4C=C(C)C(O)C5CCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,,COC1CC(OC2(O)C(C)OC(OC3C(C)=CCC4CCC(CC5(CCC(C(C)C)CO5)O4)OC(=O)C4C=C(C)C(O)C5CCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,CYP3A4,Aliphatic Hydroxylation,0.95
k-11777,CN1CCN(C(O)=NC(CC2=CC=CC=C2)C(O)=NC(C=CS(=O)(=O)C2=CC=CC=C2)CCC2=CC=CC=C2)CC1,N-oxide k-11777,C[N+]1([O-])CCN(C(O)=NC(CC2=CC=CC=C2)C(O)=NC(C=CS(=O)(=O)C2=CC=CC=C2)CCC2=CC=CC=C2)CC1,CYP3A4,N-Oxidation,0.96
"N-[(2S)-1-[[(E,3S)-1-(benzenesulfonyl)-5-phenylpent-1-en-3-yl]amino]-1-oxo-3-phenylpropan-2-yl]-4-methylpiperazine-1-carboxamide",CN1CCN(C(O)=NC(CC2=CC=CC=C2)C(O)=NC(C=CS(=O)(=O)C2=CC=CC=C2)CCC2=CC=CC=C2)CC1,b-hydroxy-homoPhe K11777,CN1CCN(C(O)=NC(CC2=CC=CC=C2)C(O)=NC(C=CS(=O)(=O)C2=CC=CC=C2)C(O)CC2=CC=CC=C2)CC1,CYP3A4,Aliphatic Hydroxylation,0.91
kaempferide,COC1=CC=C(C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2)C=C1,4'-OH-galangin,O=C1C(O)=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC(O)=C12,CYP1A2 ; CYP2C9,O-aryl demethylation,0.98
ketobemidone,CCC(=O)C1(C2=CC=CC(O)=C2)CCN(C)CC1,Norketobemidone,CCC(=O)C1(C2=CC=CC(O)=C2)CCNCC1,CYP3A4; CYP2C9,N-dealkylation of alicyclic tertiary amine,0.95
kr-60436,COC1=CC=C(N2CCC3=C2C2=CC=CC(OC(F)(F)F)=C2NC3=NCCO)C(C)=C1,O-demethyl-KR-60436,CC1=CC(O)=CC=C1N1CCC2=C1C1=CC=CC(OC(F)(F)F)=C1NC2=NCCO,CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP3A4,O-Demethylation,0.99
kr-60436,COC1=CC=C(N2CCC3=C2C2=CC=CC(OC(F)(F)F)=C2NC3=NCCO)C(C)=C1,,COC1=CC=C(N2CCC3=C2C2=CC=CC(OC(F)(F)F)=C2NC3=N)C(C)=C1,CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP3A4,N-dehydroxyethylation,0.92
kr-60436,COC1=CC=C(N2CCC3=C2C2=CC=CC(OC(F)(F)F)=C2NC3=NCCO)C(C)=C1,,COC1=CC=C(N2C=CC3=C2C2=CC=CC(OC(F)(F)F)=C2NC3=NCCO)C(C)=C1,CYP2D6;CYP3A4,Hydrogenation,0.56
"2â€(3â€{4â€[2â€(3â€fluorophenyl)ethyl]piperazinâ€1â€yl}propyl)â€5â€(1,2,4â€triazolâ€4â€yl)â€1Hâ€indole",FC1=CC=CC(CCN2CCN(CCCC3=CC4=CC(N5C=NN=C5)=CC=C4N3)CC2)=C1,,OC(CN1CCN(CCCC2=CC3=CC(N4C=NN=C4)=CC=C3N2)CC1)C1=CC=CC(F)=C1,CYP2C8;CYP3A4,Aliphatic Hydroxylation,0.91
l_775606,FC1=CC=CC(CCN2CCN(CCCC3=CC4=CC(N5C=NN=C5)=CC=C4N3)CC2)=C1,,CN1CCN(CCCC2=CC3=CC(N4C=NN=C4)=CC=C3N2)CC1,CYP2C8;CYP3A4,N-dealkylation,0.85
l-cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,Dechloroethyl cyclophosphamide,O=P1(NCCCl)NCCCO1,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.66
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,3-Dechloroethylifosfamide,O=P1(NCCCl)NCCCO1,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.59
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,2-Dechloroethylifosfamide,NP1(=O)OCCCN1CCCl,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.83
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,4-Hydroxyifosfamide,O=P1(NCCCl)OCCC(O)N1CCCl,CYP2B6 (major); CYP3A4 (major); CYP2A6 (minor); CYP2C8 (minor); CYP2C9 (minor); CYP2C19 (minor); CYP3A5 (minor),4-alkyl hydroxylation of oxoazaphosphorine,0.68
l-trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,l-ifosfamide,O=P1(N(CCCl)CCCl)OCCC(O)N1CCCl,CYP3A4; CYP2B6; CYP2A6; CYP2C9,4-alkyl hydroxylation of oxoazaphosphorine,0.68
l-trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,l-cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,CYP3A4; CYP2B6,N-dechloroethylation,0.87
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-N-ethyl-4-hydroxy-N-(4-hydroxyphenyl)-1-methyl-2-oxo-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=C(O)C=C1,CYP3A4,p-Hydroxylation of anilide,0.99
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-4-hydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN1C(=O)C(C(O)=NC2=CC=CC=C2)=C(O)C2=C(Cl)C=CC=C21,CYP3A4,N-dealkylation of secondary carboxamide,0.66
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-N-ethyl-4-hydroxy-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)C1=C(O)N=C2C=CC=C(Cl)C2=C1O)C1=CC=CC=C1,CYP3A4,N-dealkylation of secondary carboxamide,0.74
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-N-ethyl-4,8-dihydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)C1=C(O)C2=C(Cl)C=CC(O)=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.95
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-N-ethyl-4,7-dihydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)C1=C(O)C2=C(Cl)C=C(O)C=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.98
laquinimod,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,"5-chloro-N-ethyl-4,6-dihydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CCN(C(=O)C1=C(O)C2=C(Cl)C(O)=CC=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.97
levobupivacaine,CCCCN1CCCCC1C(O)=NC1=C(C)C=CC=C1C,,CC1=CC=CC(C)=C1N=C(O)C1CCCCN1,CYP2C19;CYP2D6;CYP3A4,N-demethylation,0.88
licofelone,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,licofelone M4,CC1(C)CC2=C(C3=CC=C(O)C=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,CYP3A4; CYP2C8; CYP2C19; CYP2D6,p-Hydroxylation of monosubstituted benzene,0.98
licofelone,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,licofelone M2,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C(O)=C3)=C(CC(=O)O)N2C1,CYP2C8; CYP2C9,Hydroxylation of aromatic carbon ortho to halide group,0.94
licofelone_M1,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)OCC3OC(O)C(O)C(O)C3O)N2C1,,CC1(CO)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)OCC3OC(O)C(O)C(O)C3O)N2C1,CYP2C8;CYP2C9,Aliphatic Hydroxylation,0.97
lidocaine,CCN(CC)CC(O)=NC1=C(C)C=CC=C1C,Monoethylglycinexylidide,CCNCC(O)=NC1=C(C)C=CC=C1C,CYP1A2; CYP3A4; CYP3A5; CYP2C8; CYP2C18; CYP2B6; CYP2A6,N-dealkylation of acyclic tertiary amine,0.92
lidocaine,CCN(CC)CC(O)=NC1=C(C)C=CC=C1C,3-Hydroxylidocaine,CCN(CC)CC(O)=NC1=C(C)C=CC(O)=C1C,CYP1A2; CYP2D6; CYP3A4,Hydroxylation of benzene on carbon ortho to an electron donating group,0.73
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4,8-dihydroxy-N,1-dimethyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)C1=C(O)C2=CC=CC(O)=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.93
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4,7-dihydroxy-N,1-dimethyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)C1=C(O)C2=CC=C(O)C=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.99
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4,6-dihydroxy-N,1-dimethyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)C1=C(O)C2=CC(O)=CC=C2N(C)C1=O)C1=CC=CC=C1,CYP3A4,Aromatic hydroxylation of fused benzene ring,0.97
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4-hydroxy-N-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)C1=C(O)N=C2C=CC=CC2=C1O)C1=CC=CC=C1,CYP3A4,N-dealkylation of tertiary carboxamide,0.68
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4-hydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide",CN1C(=O)C(C(O)=NC2=CC=CC=C2)=C(O)C2=CC=CC=C21,CYP3A4,N-dealkylation of tertiary carboxamide,0.6
linomide,CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=CC=C1,"4-hydroxy-N-(4-hydroxyphenyl)-N,1-dimethyl-2-oxo-1,2-dihydroquinoline-3-carboxamide",CN(C(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O)C1=CC=C(O)C=C1,CYP3A4,Hydroxylation of benzene on carbon para to an electron donating group,0.99
lisofylline,CC(O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,"lisofylline 4,5-diol",CC(O)C(O)CCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,CYP3A4; CYP2A6,Hydroxylation of acyclic aliphatic secondary carbon,0.98
lisofylline,CC(O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,pentoxifylline,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,CYP1A2,Oxidation of secondary alcohol to ketone,0.97
loperamide,CN(C)C(=O)C(CCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,N-Desmethyloperamide,CN=C(O)C(CCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,CYP3A4; CYP2D6; CYP2C8; CYP2B6,N-dealkylation of tertiary carboxamide,0.58
loratadine,CCOC(=O)N1CCC(=C2C3=CC=C(Cl)C=C3CCC3=CC=CN=C23)CC1,,ClC1=CC=C2C(=C3CCNCC3)C3=NC=CC=C3CCC2=C1,CYP1A2;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP3A4,N_DEALKYLATION,0.91
lornoxicam,CN1C(C(O)=NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,5'-Hydroxylornoxicam,CN1C(C(O)=NC2=CC=C(O)C=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,CYP2C9 ,HYDROXYLATION_OF_HETEROAROMATIC_CARBON,0.99
losartan,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,E-3174,CCCCC1=NC(Cl)=C(C(=O)O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9; CYP3A4; CYP3A5,OXIDATION_OF_PRIM_ALCOHOL_TO_CARBOXYLIC_ACID,0.9
losartan carboxaldehyde,CCCCC1=NC(Cl)=C(C=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,,CCCC(O)C1=NC(Cl)=C(C=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP3A4,Aliphatic Hydroxylation,0.89
losartan carboxaldehyde,CCCCC1=NC(Cl)=C(C=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,,CCCCC1=NC(Cl)=C(C(=O)O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP3A4,Aliphatic Hydroxylation,0.9
lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,6'beta-Hydroxylovastatin,CCC(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CYP3A4,Hydroxylation of penultimate aliphatic tertiary carbon,0.9
lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,3-Hydroxylovastatin,CCC(O)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CYP3A4,Hydroxylation of acyclic aliphatic secondary carbon,0.93
m-xylene,CC1=CC=CC(C)=C1,"2,4-Dimethylphenol",CC1=CC=C(O)C(C)=C1,CYP1A2,"2-Hydroxylation of 1,4-disubstituted benzene",0.44
m-xylene,CC1=CC=CC(C)=C1,3-Methylbenzylalcohol,CC1=CC=CC(CO)=C1,CYP2E1,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,0.58
